SN_Name,Object_ID,ZTF_Link,Type,RA,DEC,Redshift,Discovery_Date,Discovery_Time_UTC,Discovery_Date_MJD,Latest_Discovery_Date,Latest_Discovery_Time,Latest_MJD,Disc_g_Mag,Disc_g_Mag_Err,Latest_Disc_r_Mag,Latest_Disc_r_Mag_Err,Host_Galaxy,Discovery_Magnitude,Peak_Mag,Peak_Mag_Err,Peak_Mag_Band,Peak_Date,Peak_Time,Peak_MJD,Equatorial_Coords_RA,Equatorial_Coords_DEC,Galactic_Coords_RA,Galactic_Coords_DEC,Ecliptic_Coords_RA,Ecliptic_Coords_DEC,Detection_Count,Telescope,Notes
AT2018cdc,ZTF18abtypdh,https://lasair-ztf.lsst.ac.uk/objects/ZTF18abtypdh/,None (Unknown),12.771915,-7.063264167,0.006,2018-09-09,09:25:02,58370.39,2024-10-03,10:59:35,60586.46,20.1,0.2,18.65,0.05,NGC0274,16.98,18.5,0.08,r,2021-01-17,04:16:59,59231.18,0:51:05,16:56:11,122.678803,-69.934822,8.947085,-11.542099,0,Other,Type is unknown
SN2019el,ZTF19aaaajhn,https://lasair-ztf.lsst.ac.uk/objects/ZTF19aaaajhn/,lln,0.73625,32.547861,0.0005,2019-01-03,3:39:38,58486.15,2024-07-18,9:48:35,60509.41,17.84,0.05,18.23,0.07,SDSS J000256.70+323251.9,17.4,17.75,0.05,g,2021-09-27,8:37:46,59484.36,0:02:57,32:32:52,111.228853,-29.219543,14.879238,29.294544,13,Other,No common name for host galaxy
SN2020oi,ZTF20aaelulu,https://lasair-ztf.lsst.ac.uk/objects/ZTF20aaelulu/,Ic,185.728886,15.82362,0.005,2020-01-07,13:00:54,58855.54,2020-04-28,5:26:56,58967.23,17.28,0.06,18.61,0.1,MESSIER100,17.28,13.86,0.02,r,2020-01-19,11:33:26,58867.48,12:22:55,15:49:25,271.133998,76.900087,178.782158,16.760884,58,Palomar 1.2m Oschin,None
SN2020mjm,ZTF20abeohfn,https://lasair-ztf.lsst.ac.uk/objects/ZTF20abeohfn/,II,217.372243,-0.021622,0.005,2020-06-12,4:37:32,59012.19,2021-05-15,7:04:11,59349.29,16.4,0.03,20.34,0.22,UGC09299,16.4,15.93,0.04,r,2020-07-13,5:34:07,59043.23,14:29:29,-0:01:18,347.909463,54.0569,215.028645,13.951524,99,Palomar 1.2m Oschin,None
SN2020jfo,ZTF20aaynrrh,https://lasair-ztf.lsst.ac.uk/objects/ZTF20aaynrrh/,II,185.460381,4.481727,0.005,2020-05-06,4:51:41,58975.2,2024-04-11,9:28:31,60411.39,16.01,0.04,19.73,0.08,MESSIER061,16.01,14.44,0.02,g,2020-05-12,4:46:56,58981.2,12:21:50,4:28:54,284.321362,66.278226,183.227091,6.282391,77,Palomar 1.2m Oschin,None
SN2020hvp,ZTF20aavzffg,https://lasair-ztf.lsst.ac.uk/objects/ZTF20aavzffg/,Ib,245.439149,-2.289279,0.005,2020-04-24,9:03:57,58963.38,2020-08-03,7:04:39,59064.29,16.91,0.04,17.76,0.1,NGC6118,18.18,15.11,0.03,r,2020-05-09,7:04:16,58978.29,16:21:45,-2:17:21,11.443316,31.477406,243.950703,18.956428,76,ATLAS Mauna Loa,None
SN2020mmz,ZTF20abevbxv,https://lasair-ztf.lsst.ac.uk/objects/ZTF20abevbxv/,II,140.298352,64.253957,0.005,2020-06-13,5:18:15,59013.22,2021-02-11,5:49:40,59256.24,17.05,0.04,19.63,0.15,NGC2814,17.05,17.05,0.04,g,2020-06-13,5:18:15,59013.22,9:21:12,64:15:14,149.784751,40.220782,118.604158,45.727427,71,Palomar 1.2m Oschin,None
SN2022mji,ZTF22aanrqje,https://lasair-ztf.lsst.ac.uk/objects/ZTF22aanrqje/,II,145.725292,31.850985,0.004,2022-09-17,12:23:10,59839.52,2023-01-07,10:17:18,59951.43,19.32,0.22,19.16,0.19,NGC2964,17.36,17.45,0.07,r,2022-09-21,12:40:04,59843.53,9:42:54,31:51:04,194.609725,49.017215,137.252029,17.090661,61,ATLAS Mauna Loa,None
SN2022W,ZTF22aaahcez,https://lasair-ztf.lsst.ac.uk/objects/ZTF22aaahcez/,IIb,67.600501,1.555236,0.03,2022-02-12,4:54:11,59622.2,2022-03-02,3:18:00,59640.14,19.26,0.16,19.66,0.13,109860676003777362,18.25,19.26,0.16,r,2022-02-12,4:54:11,59622.2,4:30:24,1:33:19,193.542039,-30.079508,66.078793,-20.043171,4,ATLAS Sutherland,None
SN2022aagp,ZTF22abtspsw,https://lasair-ztf.lsst.ac.uk/objects/ZTF22abtspsw/,II,137.674598,7.205661,0.005,2022-11-14,9:25:37,59897.39,2023-03-28,6:16:45,60031.26,15.76,0.03,17.18,0.04,NGC2777,15.76,14.96,0.03,r,2022-11-19,10:39:21,59902.44,9:10:42,7:12:20,223.138205,34.145938,137.898709,-8.664202,26,Palomar 1.2m Oschin,None
SN2023zcu,ZTF23absdcgi,https://lasair-ztf.lsst.ac.uk/objects/ZTF23absdcgi/,II,90.278455,-23.674817,0.006,2023-12-09,7:32:32,60287.31,2024-03-19,4:07:19,60388.17,16.04,0.02,16.96,0.04,NGC2139,19.05,15.4,0.03,r,2023-12-30,9:07:56,60308.38,6:01:07,-23:40:29,229.528343,-21.139517,90.37473,-47.113746,30,ATLAS El Sauce,None
SN2023dtc,ZTF23aadvjqb,https://lasair-ztf.lsst.ac.uk/objects/ZTF23aadvjqb/,Ib,128.323148,-22.962562,0.006,2023-03-28,3:34:53,60031.15,2023-04-18,4:02:10,60052.17,16.62,0.03,16.94,0.05,NGC2613,18.6,16.33,0.04,r,2023-04-02,4:32:01,60036.19,8:33:18,-22:57:45,245.339397,10.045321,138.363764,-40.186313,11,ATLAS El Sauce,None